tag,score
base ingredient,0.12
taste profile / spice,0.18
lipid base,0.22
bulking agent,0.38
humectant,0.42
firming agent,0.45
raising agent,0.48
flavouring agent,
thickener,0.62
stabiliser,0.65
gelling agent,0.68
sweetener,
foaming agent,0.72
colour,
emulsifier,0.82
anticaking agent,0.85
acidity regulator,0.87
antioxidant,0.88
preservative,0.89
antifoaming agent,0.90
sequestrant,0.91
bleaching agent,0.92
flour treatment agent,0.93
carrier,0.94
propellant,0.95
packaging gas,0.95
